supplier_id,product_sku,lead_time_days,cost_per_unit,max_capacity_per_day,on_time_delivery_rate,quality_score,contract_type,payment_terms_days,sustainability_score,defect_rate_percent,alert_id
Supplier_D,PORTABLE-PROJECTOR,11,180.0,70,0.87,7.2,Spot-purchase,45,6.4,2.8,"gEfUxo9UTSGixJJSkozhWg,sj0ODeN0Q8i5vHk7l7Relw,LmYg6JpUSIKBgljkPkW4-w,tcef-SWCRyu3wv0-w9HRMw"
Supplier_B,ELECTRIC-TOOTHBRUSH,2,25.0,300,0.98,9.1,Long-term,30,8.3,0.7,
Supplier_A,SMART-WATCH,6,120.0,200,0.93,8.6,Long-term,60,7.7,1.3,"VJ4itGrWT06jd1usczRaUw,APPWj4HZQYuDSRWcuXwLeg"
Supplier_E,ROBOT-VACUUM,10,200.0,60,0.86,7.4,Spot-purchase,60,6.1,2.6,"spXWLOy0TQWy6oexoXhs2A,N4kevEUfRruE1d9UdNZpDg,oyIJlzLDQvid4dVgtGn4lg,MVmo69OsTo2lPYY6lAl2HA"
Supplier_C,INSTANT-POT,8,75.0,250,0.91,8.0,Long-term,90,6.7,1.9,"Fadjp9lOQumwBNF1yzsqsQ,Ar4kcHuiTiusSN_Jm3Bvdw,1HclVGCoQeiUI9a1QkIZ-g,3eLAAjsbTe-KHLxBzAsm8g"
Supplier_D,ACTION-CAMERA,9,100.0,90,0.89,7.6,Spot-purchase,45,6.3,2.4,"KT2cHNOrQ56QQkGMSvObBw,DqrOHBHQS_afkemItNU3jg,niSRuDqqSqqL6Y-AqN3IqA,n1QFC-pmSu2y_JAbn1m2KQ"
Supplier_B,BLUETOOTH-SPEAKER,3,30.0,350,0.97,9.3,Long-term,30,8.4,0.6,
Supplier_A,LAPTOP-BUDGET,8,400.0,100,0.92,8.4,Long-term,60,7.4,1.6,"ySFsv8Z_Qiu23WH3VlhCbA,AI0ymKjXSI6GtMfe0kFu8g,4pmGrepKTbu0BMJRD_jNWw,Z1J5zQwhTUOEnlajAYNrLw"
Supplier_E,TABLET-ENTRY,11,150.0,110,0.85,7.1,Spot-purchase,60,5.9,2.9,"WlHiUoK4Sbi0FxEZeXwiLw,TQ5x3mO7Rp-KDgaXTJ__mw,6mF08g-9QRirsyzULfp8oA,C6cwQ0mcQkGVkceQo0ryUw"
Supplier_C,SMART-TV-SMALL,7,250.0,180,0.9,7.7,Long-term,90,6.6,2.1,"q-R1gV_gSV6Frq4vIfWdZw,hQ90zP2xRcuzOaQk6JqG4A,wRA23JurQP2j3MHOfbfTLQ,bjoNQg4pSka2DwkGp-ySGg"
Supplier_D,GAMING-CONSOLE,12,350.0,40,0.82,6.5,Spot-purchase,45,5.8,3.5,"lao2FfPwQamMWTsPTXKpQQ,mBHB56qlRUeCr6W1lcpRuA,-f6S91XXTwG578vwo5lbCw,MNNOLRE8RhGkFJ0cXx049w"
Supplier_B,EXTERNAL-HARDDRIVE,4,55.0,200,0.96,8.9,Long-term,30,8.1,1.0,EIA8_shaTJSNhQSFB98JGA
Supplier_A,PRINTER-INKJET,6,80.0,300,0.94,8.2,Long-term,60,7.3,1.5,"z058u6LzRjGXoUBtX9-ZTQ,YMNNxgAmTWePO11lU8lDbA,RmdVZsdISK-LAOOfJ0u6Pg"
Supplier_E,WEB-CAMERA,9,30.0,250,0.91,7.3,Spot-purchase,60,5.7,2.7,"Vx31Z70GSJKRrXilDh-WeA,CE6H4CFuR7CcRYNJGcMQ6g,DdHlruumTiKkScD3ulTYMw,Us3-CK18Th-y-LBo4nr1GA"
Supplier_C,MONITOR-PC,8,120.0,150,0.89,7.5,Long-term,90,6.5,2.0,"eQOVaC0tTc2nsnwxibX14g,zhuMQ3uQTIOcxFAtajnKww,tQqcNAJsS7yM_vDe9m8vZQ,6FQW7RfHRFii0fiLIamTQg"
Supplier_D,KEYBOARD-MECHANICAL,10,70.0,100,0.88,7.0,Spot-purchase,45,6.0,3.0,"KNg3tn02RyObPtIiSA_SrQ,NfLNLtIgSHSGzjIW1MEOXg,W_Wp_V85SYGhTKh1w9DydQ,cEkeYoppTFWgLne2qbmnRQ"
Supplier_A,DESKTOP-GAMING,10,800.0,50,0.9,8.0,Long-term,60,7.0,1.8,"60s4DCEhTmCSqSpR1FyFpg,lYpzZ5o2QbqAd8_3WdwR6A,uG9nyxinRfGJY23g1wIePw,Fa7mQj98R9KNiVP5TmyXaw"
Supplier_B,SMART-LIGHTBULB,2,10.0,500,0.99,9.4,Long-term,30,8.6,0.4,
Supplier_C,SECURITY-CAMERA,7,90.0,100,0.92,7.8,Long-term,90,6.7,2.3,"Lcul8WwJQyCI6J0E_uup9w,F8ctnPvIQdSMCO2CMEvHcw,7IjC9bbxQ5SSeigT3bAUTw,pCcPVNGfTemNdI0Gc4EsKw"
Supplier_D,DRONE-MINI,9,120.0,80,0.86,7.1,Spot-purchase,45,6.1,2.9,"Dw4euGaPTzS8bcue7X5ldg,M1pRAMMCTIakGPVgwbww8g,ea-7uzogQq2v362l5EHt_Q,XYwaZoykTuOoDz-IsP-jHw"
Supplier_E,SMART-THERMOSTAT,11,110.0,70,0.88,7.6,Spot-purchase,60,6.4,2.5,"PrJgSmJRSWSD3vQH_tabqg,AEbJxz4BR5Gh5WXpAtipLw,Dnwhn_zFQuWCxlLNn5SS4A,mVeIFwG0Tg6rJyF9gFdY4g"
Supplier_A,ROUTER-WIFI6,5,70.0,200,0.95,8.7,Long-term,60,7.2,1.3,qNFlrfnERn2BbQwxxZAK6A
Supplier_B,HEADPHONES-ANC,3,65.0,150,0.98,9.1,Long-term,30,8.3,0.7,
Supplier_C,EXTERNAL-SSD,6,100.0,200,0.93,8.0,Long-term,90,6.8,1.9,"-H-l251hT2u1PxSrweFJDw,op_LB7WeTRC9rQQYhREjCw,6emPev7dR3u_bWcgRgAefA"
Supplier_D,PROJECTOR-MINI,10,200.0,30,0.85,6.8,Spot-purchase,45,5.9,3.2,"5i4vr-60S6e4-x2ym1uA9w,XJc1Rp23QNWCgWLw-tprPQ,FxoiJ38ITcOQ0ULu0d76bA,szK8XJ3ESWi5Q1bVV3WHOQ"
Supplier_E,GAMING-MOUSE,8,40.0,300,0.9,7.7,Spot-purchase,60,6.2,2.0,"6Zr6YEAYSAqRJ-668dk6ug,bHY6snuBRk2rSuL718j56Q,_Sfkfn0ESu2QnuO1yL9PdA,SAeOjupqQdWw94riW4e-Jw"
